TransactionID,Amount,Time,UserID,Location,Merchant,Class
2049,78.43,55330,1431,NY,Target,0
2050,8.53,32991,1519,FL,Target,0
2051,61.3,15003,1789,FL,Amazon,0
2052,66.3,47496,1323,WA,Target,0
2053,18.13,14743,1801,CA,eBay,0
2054,291.32,52926,1955,CA,eBay,0
2055,189.7,79543,1428,WA,Target,0
2056,110.57,24300,1292,FL,Walmart,0
2057,62.04,81711,1376,TX,eBay,0
2058,53.06,71509,1534,NY,Walmart,0
2059,105.26,9703,1083,FL,Walmart,0
2060,78.84,84006,1766,FL,Walmart,0
2061,6.43,65014,1372,NY,Target,0
2062,71.85,40431,1023,TX,Amazon,0
2063,164.2,56436,1986,NY,Target,0
2064,61.48,21845,1908,WA,eBay,0
2065,5.34,81777,1324,NY,eBay,0
2066,154.31,35055,1847,NY,eBay,0
2067,22.48,8878,1315,FL,eBay,0
2068,29.92,10209,1549,FL,Amazon,0
2069,18,58812,1943,CA,Walmart,0
2070,40.08,11004,1220,NY,Target,0
2071,141.37,33390,1921,WA,eBay,0
2072,73.27,28400,1213,CA,Walmart,0
2073,22.93,76511,1471,NY,Target,0
2074,210.23,78121,1844,FL,Amazon,0
2075,211.68,6876,1490,WA,Costco,0
2076,204.47,48104,1084,TX,Amazon,0
2077,27.29,79135,1384,CA,Costco,0
2078,60.01,43906,1003,FL,eBay,0
2079,419.9,20378,1706,TX,Walmart,0
2080,147.85,26568,1113,NY,Walmart,0
2081,2.75,86224,1214,WA,Target,0
2082,6.74,30796,1335,FL,Costco,1
2083,62.35,86353,1876,FL,Costco,0
2084,239.93,64350,1652,WA,Target,0
2085,77.37,55061,1166,FL,Walmart,0
2086,68.88,75597,1286,FL,Walmart,0
2087,11.15,24401,1919,NY,Target,0
2088,106.94,3810,1494,CA,Costco,0
2089,172.66,4902,1383,TX,eBay,0
2090,47.87,62734,1846,WA,Target,0
2091,149.44,85148,1516,TX,Walmart,0
2092,333.76,49723,1126,WA,eBay,0
2093,22.79,60599,1432,WA,eBay,0
2094,74.09,76199,1085,FL,Costco,0
2095,33.85,13967,1597,NY,Target,0
2096,157.43,40536,1906,WA,eBay,0
2097,86.18,5135,1535,TX,Amazon,0
2098,100.67,62365,1044,CA,eBay,0
